q1;q2;q3;r0;J;R_;L_;C_;D_;Vi
0.001;0.001;2.58369709;0.001;0.240780147;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.324462897;0.001;0.007167735;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.58902852;0.001;0.241013968;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.69745172;0.001;0.245720787;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.68094027;0.001;0.245009838;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.299973341;0.001;0.007206148;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.339457926;0.001;0.007144513;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.481735245;0.001;0.006934747;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.517738621;0.001;0.237868399;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.520993484;0.001;0.238012921;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.511075577;0.001;0.006893721;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.511584138;0.001;0.006893016;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.513508125;0.001;0.006890352;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.516009388;0.001;0.237791582;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.514772389;0.001;0.006888603;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.51424677;0.001;0.00688933;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515241767;0.001;0.237757475;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515625212;0.001;0.237774513;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.514239889;0.001;0.00688934;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.514931919;0.001;0.006888382;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515812544;0.001;0.237782836;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515492374;0.001;0.23776861;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.514331661;0.001;0.006889213;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.514545549;0.001;0.006888917;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;0.001;0.472425123;0.360298362;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;1.006526049;0.164963907;0.067030085;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;1.468541443;0.001;0.00903462;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.669675018;0.001;0.244523593;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;1.506021208;0.001;0.008920689;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;1.644028544;0.001;0.008535324;133.333;0.000111111;0.00005;0.5;20
